Ticker,Altman Z-Score,Safety Level,Sector,Market Cap,Market Cap (Billions)
MMM,1.8536803553210488,Gray,Industrials,72714960896.0,72.71
AOS,6.390296959357286,Safe,Industrials,10800677888.0,10.8
ABT,4.30258063300861,Safe,Healthcare,206001815552.0,206.0
ABBV,1.7534327065813164,Distress,Healthcare,323262906368.0,323.26
ACN,5.324327639932626,Safe,Technology,226429059072.0,226.43
ADBE,9.434071521030113,Safe,Technology,227112386560.0,227.11
AMD,7.705656148097293,Safe,Technology,222608965632.0,222.61
AES,0.3763230871907709,Distress,Utilities,9271792640.0,9.27
A,5.084671953015769,Safe,Healthcare,39348076544.0,39.35
APD,3.2623197264965755,Safe,Basic Materials,74347970560.0,74.35
ABNB,3.253354289859391,Safe,Consumer Cyclical,85037711360.0,85.04
AKAM,2.4553618490650275,Gray,Technology,14124343296.0,14.12
ALB,1.8603989028302397,Gray,Basic Materials,12659057664.0,12.66
ALGN,3.935786696575815,Safe,Healthcare,17377003520.0,17.38
ALLE,3.7849708292903865,Safe,Industrials,12243122176.0,12.24
LNT,1.1344621479586363,Distress,Utilities,16217057280.0,16.22
GOOGL,8.676970661367346,Safe,Communication Services,2076902293504.0,2076.9
GOOG,8.675259383580993,Safe,Communication Services,2076329508864.0,2076.33
MO,3.615051230092592,Safe,Consumer Defensive,97858330624.0,97.86
AMZN,4.33364579093944,Safe,Consumer Cyclical,2185963372544.0,2185.96
AMCR,1.749885633572,Distress,Consumer Cyclical,15378418688.0,15.38
AEE,0.907686226100892,Distress,Utilities,25195333632.0,25.2
AEP,0.8349952840410889,Distress,Utilities,53181939712.0,53.18
AMT,1.112114642212564,Distress,Real Estate,97663401984.0,97.66
AWK,1.0735170983940172,Distress,Utilities,26688784384.0,26.69
AME,4.671596578810791,Safe,Industrials,44961648640.0,44.96
AMGN,1.254102696391819,Distress,Healthcare,152051957760.0,152.05
APH,6.716955710756372,Safe,Technology,87587569664.0,87.59
ADI,4.745216683266063,Safe,Technology,108217556992.0,108.22
ANSS,8.326803849031132,Safe,Technology,30703695872.0,30.7
AON,1.512199944216608,Distress,Financial Services,84676788224.0,84.68
APA,1.3310274247727214,Distress,Energy,8379299840.0,8.38
AAPL,6.478389151933288,Safe,Technology,3587432775680.0,3587.43
AMAT,8.1419990693553,Safe,Technology,144031629312.0,144.03
APTV,2.1270046945876238,Gray,Consumer Cyclical,13051548672.0,13.05
ADM,3.184221255411253,Safe,Consumer Defensive,26127955968.0,26.13
ANET,19.376106781718743,Safe,Technology,127808954368.0,127.81
AJG,0.9963113199932428,Distress,Financial Services,68519817216.0,68.52
T,0.7498458364748101,Distress,Communication Services,166179717120.0,166.18
ATO,1.573578693636346,Distress,Utilities,23515129856.0,23.52
ADP,2.0613663619637643,Gray,Technology,125060767744.0,125.06
AZO,2.3967385884210923,Gray,Consumer Cyclical,53578854400.0,53.58
AVB,2.434238625072458,Gray,Real Estate,33475477504.0,33.48
AVY,3.290698166392528,Safe,Consumer Cyclical,16547341312.0,16.55
AXON,12.620841739101982,Safe,Industrials,49333805056.0,49.33
BKR,1.4783095218640456,Distress,Energy,43489669120.0,43.49
BALL,1.940566903498492,Gray,Consumer Cyclical,18550159360.0,18.55
BAX,1.8933767526655343,Gray,Healthcare,17211920384.0,17.21
BDX,1.8781621760495084,Gray,Healthcare,64156168192.0,64.16
BBY,4.106996022783148,Safe,Consumer Cyclical,19325249536.0,19.33
TECH,10.607894552930558,Safe,Healthcare,11974100992.0,11.97
BIIB,2.535822747382505,Gray,Healthcare,23406845952.0,23.41
BLK,1.979001664765263,Gray,Financial Services,151505321984.0,151.51
BA,1.2539966344329174,Distress,Industrials,116296482816.0,116.3
BKNG,6.311559454624178,Safe,Consumer Cyclical,172168364032.0,172.17
BWA,2.3951655683962363,Gray,Consumer Cyclical,7505783808.0,7.51
BSX,4.606561491142099,Safe,Healthcare,133617434624.0,133.62
BMY,2.168712180710978,Gray,Healthcare,120108818432.0,120.11
AVGO,9.592490041433804,Safe,Technology,757007646720.0,757.01
BR,4.0098670430086205,Safe,Technology,27588143104.0,27.59
BRO,2.4521781521686896,Gray,Financial Services,32341852160.0,32.34
BLDR,4.225477606880785,Safe,Industrials,21459900416.0,21.46
BG,4.2406369991425175,Safe,Consumer Defensive,12530127872.0,12.53
BXP,0.7709688022038026,Distress,Real Estate,14460903424.0,14.46
CHRW,6.666974012615473,Safe,Industrials,12480083968.0,12.48
CDNS,15.882219277485133,Safe,Technology,84146634752.0,84.15
CZR,0.599919025371177,Distress,Consumer Cyclical,8178355712.0,8.18
CPT,1.937341516400672,Gray,Real Estate,13420470272.0,13.42
CPB,1.7105345245160617,Distress,Consumer Defensive,13749859328.0,13.75
CAH,5.301047245820985,Safe,Healthcare,29583302656.0,29.58
KMX,1.8202767765741117,Gray,Consumer Cyclical,13008968704.0,13.01
CCL,0.8088085677748911,Distress,Consumer Cyclical,34123245568.0,34.12
CARR,2.9913600217975587,Gray,Industrials,69418459136.0,69.42
CTLT,1.1951395656149797,Distress,Healthcare,11092198400.0,11.09
CAT,3.4115519416490114,Safe,Industrials,196070703104.0,196.07
CBOE,4.335749372548262,Safe,Financial Services,22596472832.0,22.6
CBRE,3.405864170912788,Safe,Real Estate,42839457792.0,42.84
CDW,2.822076447388697,Gray,Technology,23445135360.0,23.45
CE,1.6325213648902075,Distress,Basic Materials,8002731520.0,8.0
COR,4.729204030245647,Safe,Healthcare,48619585536.0,48.62
CNC,2.434970277926711,Gray,Healthcare,30291900416.0,30.29
CNP,0.7568709660697652,Distress,Utilities,21259333632.0,21.26
CF,3.015884411328368,Safe,Basic Materials,15602633728.0,15.6
CRL,2.288848959137536,Gray,Healthcare,10179172352.0,10.18
CHTR,0.6827637487839944,Distress,Communication Services,56442068992.0,56.44
CVX,3.555416233630568,Safe,Energy,288708198400.0,288.71
